*    FB  Tele Strip  Intertcept   	Slope
     1     5     5   -1.148265    0.00706858
     1     5     6   -1.166643    0.00721840
     1     5     7   -1.123089    0.00705721
     1     5     8   -1.091384    0.00719483
     1     5     9   -1.120142    0.00705840
     1     5    10   -1.058867    0.00723689
     1     5    11   -1.167826    0.00708253
     1     5    12   -1.153605    0.00723195
     1     5    13   -1.096727    0.00708225
     1     5    14   -1.145606    0.00724510
     1     5    15   -1.074847    0.00710332
     1     5    16   -1.020679    0.00725920
     1     5    17   -1.163304    0.00709878
     1     5    18   -1.095488    0.00719661
     1     5    19   -1.138940    0.00707874
     1     5    20   -1.153694    0.00719002
     1     5    21   -1.285735    0.00710518
     1     5    22   -1.137660    0.00723512
     1     5    23   -1.193953    0.00708025
     1     5    24   -1.051715    0.00723058
     1     5    25   -1.116370    0.00707688
     1     5    26   -1.145133    0.00723135
     1     5    27   -1.046523    0.00709667
     1     5    28   -1.122990    0.00720248
     1     5    29   -1.219604    0.00710555
     1     5    30   -1.164105    0.00722564
     1     5    31   -1.281806    0.00718358
     1     6     0   -1.054904    0.00777298
     1     6     1   -7.697213    0.01565340
     1     6     2   -1.056607    0.00783564
     1     6     3   -1.145485    0.00734691
     1     6     4   -1.131427    0.00782764
     1     6     5   -0.997754    0.00725123
     1     6     6   -1.173174    0.00788227
     1     6     7   -1.007312    0.00723196
     1     6     8   -1.296227    0.00780583
     1     6     9   -1.116471    0.00732853
     1     6    10   -1.015063    0.00782771
     1     6    11   -1.083812    0.00728494
     1     6    12   -1.092360    0.00777801
     1     6    13   -0.981681    0.00735625
     1     6    14   -1.230311    0.00779909
     1     6    15   -0.934692    0.00726934
     1     6    16   -1.081592    0.00777750
     1     6    17   -1.069138    0.00725678
     1     6    18   -1.107936    0.00773749
     1     6    19   -1.023659    0.00719848
     1     6    20   -1.121488    0.00777487
     1     6    21   -1.058110    0.00727913
     1     6    22   -1.083685    0.00772851
     1     6    23   -0.893300    0.00716600
     1     6    24   -1.119610    0.00772102
     1     6    25   -1.060720    0.00721522
     1     6    26   -0.994533    0.00769758
     1     6    27   -0.957282    0.00714043
     1     6    28   -1.138759    0.00771094
     1     6    29   -0.977966    0.00720550
     1     6    30   -1.167763    0.00767108
     1     6    31  -14.383085    0.02103137
     1     7     0   -0.977327    0.00720195
     1     7     1   -1.161861    0.00737486
     1     7     2   -1.147126    0.00720779
     1     7     3   -1.192383    0.00730282
     1     7     4   -1.083487    0.00737899
     1     7     5   -1.300045    0.00734682
     1     7     6   -1.110573    0.00725417
     1     7     7   -1.310776    0.00732390
     1     7     8   -1.128631    0.00721628
     1     7     9   -1.219061    0.00733454
     1     7    10   -1.034829    0.00728419
     1     7    11   -1.114462    0.00731233
     1     7    12   -1.116809    0.00724917
     1     7    13   -1.305405    0.00733977
     1     7    14   -1.068428    0.00723849
     1     7    15   -1.108554    0.00736860
     1     7    16   -1.156027    0.00726621
     1     7    17   -1.076507    0.00734157
     1     7    18   -1.144485    0.00723292
     1     7    19   -0.532194    0.00680520
     1     7    20   -1.046948    0.00724513
     1     7    21   -1.152172    0.00733204
     1     7    22   -1.145057    0.00723943
     1     7    23   -1.121835    0.00733661
     1     7    24   -1.173793    0.00726471
     1     7    25   -1.285045    0.00733314
     1     7    26   -1.056874    0.00722515
     1     7    27   -1.206641    0.00732377
     1     7    28   -1.166143    0.00725109
     1     7    29   -1.089990    0.00730304
